Customer Name,Account ID,Total Invoice,Order Date,Order Time,Paid Date,Paid time,Invoice Amount,Paid Amount,Status,Payment Link
Luggage to Ship - LTS,P01241001-01,1143,09-15-2024,09:05 AM,09-17-2024,12:22 AM,$9.00,$9.27,PAID INVOICE,https://www.paytome.co/i/swc7nfru3
Luggage to Ship - LTS,P01241001-01,1143,09-15-2024,08:28 AM,09-16-2024,02:18 PM,$21.00,$21.63,PAID INVOICE,https://www.paytome.co/i/rnf1bjuyb
Luggage to Ship - LTS,P01241001-01,1143,09-15-2024,08:21 AM,09-15-2024,02:58 PM,$10.00,$10.30,PAID INVOICE,https://www.paytome.co/i/fabv09dsv
Luggage to Ship - LTS,P01241001-01,1143,09-11-2024,10:16 PM,09-11-2024,10:57 PM,$15.00,$15.45,PAID INVOICE,https://www.paytome.co/i/sgmjc8klm
Luggage to Ship - LTS,P01241001-01,1143,09-10-2024,09:28 PM,09-10-2024,10:25 PM,$11.00,$11.33,PAID INVOICE,https://www.paytome.co/i/bnrpkmdse
Luggage to Ship - LTS,P01241001-01,1143,09-08-2024,07:55 PM,09-08-2024,10:37 PM,$13.00,$13.39,PAID INVOICE,https://www.paytome.co/i/h8nslso2p
Luggage to Ship - LTS,P01241001-01,1143,09-08-2024,06:52 PM,09-08-2024,07:21 PM,$5.00,$5.15,PAID INVOICE,https://www.paytome.co/i/oa455rdlg
Luggage to Ship - LTS,P01241001-01,1143,09-04-2024,06:19 PM,09-04-2024,08:21 PM,$113.00,$116.39,PAID INVOICE,https://www.paytome.co/i/qo61iqbpu
Luggage to Ship - LTS,P01241001-01,1143,08-30-2024,07:30 PM,09-01-2024,07:09 PM,$70.00,$72.10,PAID INVOICE,https://www.paytome.co/i/auvlbewkp
Luggage to Ship - LTS,P01241001-01,1143,08-27-2024,07:34 PM,08-27-2024,07:36 PM,$10.00,$10.30,PAID INVOICE,https://www.paytome.co/i/xfhh1yibk
Luggage to Ship - LTS,P01241001-01,1143,08-27-2024,06:13 PM,08-27-2024,06:31 PM,$10.00,$10.30,PAID INVOICE,https://www.paytome.co/i/zrflgyvug
Luggage to Ship - LTS,P01241001-01,1143,08-26-2024,11:32 AM,08-29-2024,06:15 AM,$45.00,$46.35,PAID INVOICE,https://www.paytome.co/i/jrdvb6yn6
Luggage to Ship - LTS,P01241001-01,1143,08-22-2024,12:12 PM,08-22-2024,12:44 PM,$10.00,$10.30,PAID INVOICE,https://www.paytome.co/i/04mbuiagx
Luggage to Ship - LTS,P01241001-01,1143,08-22-2024,09:16 AM,08-25-2024,02:08 PM,$11.00,$11.33,PAID INVOICE,https://www.paytome.co/i/e8zqmuja2
Luggage to Ship - LTS,P01241001-01,1143,08-15-2024,10:37 PM,08-16-2024,10:15 AM,$10.00,$10.30,PAID INVOICE,https://www.paytome.co/i/qpnd7a5iy
Luggage to Ship - LTS,P01241001-01,1143,08-15-2024,09:34 PM,08-16-2024,11:33 AM,$20.00,$20.60,PAID INVOICE,https://www.paytome.co/i/eja25j2vu
Luggage to Ship - LTS,P01241001-01,1143,08-14-2024,10:46 PM,08-15-2024,05:05 AM,$18.00,$18.54,PAID INVOICE,https://www.paytome.co/i/74pdvjkqg
Luggage to Ship - LTS,P01241001-01,1143,08-14-2024,10:42 PM,08-16-2024,11:29 AM,$15.00,$15.45,PAID INVOICE,https://www.paytome.co/i/t7uglyj1b
Luggage to Ship - LTS,P01241001-01,1143,08-14-2024,09:29 PM,08-15-2024,06:05 PM,$12.00,$12.36,PAID INVOICE,https://www.paytome.co/i/s5yfqip3x
